T0353,IHS_KSR_014,"Far North",Zigague,Indoor,TIS,"Gen Only"
NRO_030,IHS_BMD_206,"North West",Zhoa,Outdoor,P5,"Gen Only"
SUO_070,IHS_BUA_047,"South West",Yoke,Outdoor,P5,"Grid Gen"
T1663,IHS_NGD_217,Adamawa,"YARBANG GAZIYA        ",Outdoor,P4,"Gen Only"
T1707,IHS_DLA_417,Littoral,Yansoki,Outdoor,P3,"Gen Only"
EXN_127,IHS_MAR_307,"Far North",Wina,Outdoor,P4,"Gen Only"
T1839,IHS_LMB_010,"South West","Upper Mawo",Outdoor,P3,"Grid Gen"
T2148,IHS_MAR_216,"Far North",TOULOUM,Outdoor,P4,"Gen Only"
EST_116,IHS_BER_160,East,"Tongo Ngandinma",Outdoor,P4,"Hybrid Gen"
T1780,IHS_BUA_167,"South West","Tole Tea",Outdoor,P4,"Hybrid Gen"
T1693,IHS_BUA_011,"South West","Tole 2",Outdoor,P3,"Gen Only"
SUO_040,IHS_KMB_054,"North West",Tinto,Outdoor,P5,"Gen Only"
T2885,IHS_KSR_107,"Far North",TIKA,Outdoor,P4,"Gen Only"
T1412,IHS_NGD_209,Adamawa,TEKEL,Outdoor,P4,"Solar Gen"
T1312,IHS_KMB_020,"South West",Teke,Outdoor,P4,"Grid Gen"
T1668,IHS_BMD_2217,"North West","TATUM ",Outdoor,P4,"Gen Only"
OST_092,IHS_NGD_096,Adamawa,Taram-FH,Indoor,P2,"Gen Only"
T2894,IHS_KSR_101,"Far North","TANNE ",Outdoor,TIS,"Gen Only"
T2146,IHS_KMB_105,"North West",TALI,Outdoor,P4,"Gen Only"
CTR_206,IHS_YND_550,West,TALBA,Outdoor,P4,"Gen Only"
T1475,IHS_BMD_078,"North West",TADU,Outdoor,P4,"Gen Only"
EST_007,IHS_TIE_0032,Center,Tabene,Indoor,P3,"Gen Only"
T1518,IHS_BMD_2223,"North West","SONGKOLONG ",Outdoor,P4,"Gen Only"
LIT_212,IHS_MBG_030,"South West",Sole,Outdoor,P4,"Grid Gen"
LIT_506,IHS_EDA_064,Littoral,Sokelle,Outdoor,P4,"Gen Only"
T1666,IHS_EDA_058,West,SOHOCK,Outdoor,P4,"Gen Only"
NRD_125,IHS_GAR_325,North,So-Djay,Outdoor,P4,"Solar Gen"
LIT_515,IHS_EDA_069,Littoral,Sodibanga,Outdoor,P4,"Gen Only"
T1615,IHS_YND_323,Center,"SOA VILLAGE",Outdoor,P4,"Gen Only"
T1767,IHS_KMB_019,"South West","Small Ekombe",Outdoor,P4,"Hybrid Gen"
T2816,IHS_BMD_0065,"North West","Small Babanki",Outdoor,P4,"Solar Gen"
LIT_388,IHS_EDA_024,Littoral,Sikoum-II,Outdoor,P4,"Gen Only"
T0762,IHS_EDA_025,Littoral,"Sikom Mtn",Indoor,TIS,"Gen Only"
LIT_507,IHS_YND_700,Littoral,Sibongo,Outdoor,P4,"Grid Gen"
T1808,IHS_BER_105,East,"SFID NDENG",Outdoor,P4,"Gen Only"
T2143,IHS_BER_106,East,"SALAPOUMBE VILLE",Outdoor,P4,"Gen Only"
NRO_048,IHS_BMD_321,"North West",Sabga,Outdoor,P4,"Grid Gen"
T2013,IHS_MAR_209,"Far North",ROUA,Outdoor,P4,"Grid Gen"
LIT_513,IHS_EDA_068,Littoral,Poutkak,Outdoor,P4,"Hybrid Gen"
NRD_119,IHS_GAR_330,North,"Poli ville",Outdoor,P4,"Grid Gen"
T2836,IHS_BMD_2214,"North West","Pinyin Ngali",OutDoor,P4,"Solar Gen"
T2781,IHS_BAF_105,West,"PENKA MICHEL",Outdoor,P4,"Grid Gen"
T2142,IHS_SGM_100,South,OVENG,Outdoor,P4,"Gen Only"
NRD_124,IHS_GAR_333,North,"Ouro Be ",Outdoor,P4,"Gen Only"
EST_114,IHS_BER_159,East,Ouli,Outdoor,P4,"Gen Only"
SUD_038,IHS_EBO_102,South,Olamze-IHS,Outdoor,P5,"Gen Only"
CTR_441,IHS_YND_687,Center,OLAMA,Outdoor,P4,"Gen Only"
T1765,IHS_KMB_078,"North West",Okoroba,Outdoor,P4,"Gen Only"
T1626,IHS_YND_354,Center,"OBALA CARREFOUR",Outdoor,P4,"Gen Only"
T1289,IHS_KRI_006,"South West","Nziou Kribi",Outdoor,P3,"Grid Gen"
LIT_349,IHS_EDA_051,Center,Nyanon,Outdoor,P4,"Gen Only"
T1588,IHS_EBO_026,South,"Ntoumou centre Maan",Outdoor,P4,"Gen Only"
NRO_056,IHS_BMD_320,"North West",NTEM,Outdoor,P4,"Gen Only"
T2022,IHS_EBO_100,South,NSELANG,Outdoor,P4,"Gen Only"
CTR_297,IHS_YND_463,West,Nomale,Outdoor,P4,"Gen Only"
SUD_050,IHS_SGM_108,South,"NKOUMADJAP II",Outdoor,P4,"Gen Only"
T2766,IHS_BMD_2216,"North West",NKOR,Outdoor,P4,"Gen Only"
LIT_169,IHS_NKS_100,"South West","Nkong-Q3 CIM",Outdoor,P4,"Grid Gen"
CTR_531,IHS_YND_705,Center,Nkolve,Outdoor,P4,"Gen Only"
CTR_442,IHS_YND_554,South,NKOLMEYANG,Outdoor,P4,"Gen Only"
CTR_440,IHS_YND_553,South,Nkolbewae,Outdoor,P4,"Gen Only"
T1473,IHS_BMD_066,"North West",Nkar,Outdoor,P4,"Gen Only"
LIT_514,IHS_YND_701,Littoral,NKAN,Outdoor,P4,"Gen Only"
T0245,IHS_MBG_008,"South West","Njombe SDH",Indoor,P4,"Gen Only"
T1298,IHS_MBG_028,"South West","Njombe Kompita",Outdoor,P4,"Grid Gen"
T1503,IHS_BMD_061,"North West","Njikwa town",Outdoor,P4,"Gen Only"
CTR_139,IHS_TIE_0021,East,Nji-CAMTEL,Outdoor,P5,"Gen Only"
SUO_022,IHS_TIE_0081,"North West",Nguti,Indoor,P5,"Gen Only"
T1948,IHS_KMB_104,"South West",NGUSI,Outdoor,P4,"Grid Gen"
CTR_299,IHS_YND_433,Center,Nguila,Outdoor,P4,"Gen Only"
T0575,IHS_EDA_019,Littoral,Ngoulmepa,Outdoor,P4,"Gen Only"
CTR_300,IHS_YND_454,Center,Ngouetou,Outdoor,P4,"Hybrid Gen"
T1598,IHS_YND_593,Littoral,"Ngonga Water Tower ",Outdoor,P4,"Grid Gen"
T2136,IHS_YND_678,South,NGOMEDZAP,Outdoor,P4,"Gen Only"
LIT_121,IHS_EDA_101,Littoral,"NGOG MBOG ",Outdoor,P4,"Gen Only"
